index,county,16_jan,16_feb,16_mar,16_apr,16_may,16_jun,16_jul,16_aug,16_sep,16_oct,16_nov,16_dec,17_jan,17_feb,17_mar,17_apr,17_may,17_jun,17_jul,17_aug,17_sep,17_oct,17_nov,17_dec,18_jan,18_feb,18_mar,18_apr,18_may,18_jun,18_jul,18_aug,18_sep,18_oct,18_nov,18_dec,19_jan,19_feb,19_mar,19_apr,19_may,19_jun,19_jul,19_aug,19_sep,19_oct,19_nov,19_dec,20_jan,20_feb,20_mar,20_apr,20_may,20_jun,20_jul,20_aug,20_sep,20_oct,20_nov,20_dec,21_jan,21_feb,21_mar,21_apr,21_may,lat,lng
30,san_benito,37.1,-11.6,13.7,-5.8,-4.1,24.5,-3.4,42.9,12.2,-4.1,68.8,-9.5,-37.5,0,-25.9,-8.2,0,-13.6,-8.8,34,-13,8.5,-25.9,36.8,43.3,-7.9,27.9,31.1,38.3,-12.3,-11.5,-40.3,-5,-9.8,10,-28.8,-72.1,-11.4,-27.3,-10.2,-24.6,20,15.2,55,28.9,8.7,6.8,27,166.7,-19.4,2.5,-47.2,-59.2,-15,37.7,8.1,36.7,8,55.3,-6.4,50,36,29.3,128.6,195,36.6057,-121.075
31,san_bernardino,5.7,5.1,12.2,-0.2,1.9,-0.7,-8.7,1.4,4,1,29.6,0.4,6.6,11.2,0.6,-11.3,6.2,13.2,0.8,16.7,4.4,12.5,-5.4,0.4,5.6,-2,0.4,9.8,2.1,-10.2,-2.1,-4.3,-12.4,-11.4,-3.2,-23.1,-19.2,-14.1,-12.2,-7.7,-10.6,-7.2,5,-9.6,1.5,4.7,-4,15.2,7.6,9.6,-3.7,-24.2,-37.6,-8,13,10.4,19.8,16,17.1,28.2,17,10,19.7,38.8,54.8,34.8414,-116.1784
32,san_diego,2.9,-4.7,1.1,-3.5,4.2,-4.4,-8.9,7.6,6.4,7.1,32.5,-2.9,6.8,6.8,8.2,-6.8,3.9,6,-3.1,4.9,-4.3,1.9,-6.3,-7.2,-2.4,-4.2,-10.4,-1.3,-6.1,-8.6,0.5,-10.4,-15.6,-13.2,-11,-14.7,-10,-4.7,-3.9,2.4,0.2,-12.5,3.4,2.3,16.3,11.2,10,17.4,14.6,7.2,-1.3,-27,-42.3,1.7,10.2,10.2,32.8,21.2,23.2,30.3,9.9,12.8,18.1,55.2,76.1,33.0341,-116.7353
33,san_francisco,6.3,-18.9,-17,-5.7,-4.5,11,-14,0,5.1,-5.1,11.7,-4.6,1,7.1,12.6,-3,11.5,-5.6,3.1,9.7,0,2.7,18.5,-25,-8.8,-4.7,12.4,-3.1,10.8,3.2,-6.9,-10.3,-11.5,5.2,-12.2,11.3,3.2,8.9,-11,16.1,-0.8,-21.1,10.1,-9.3,-16.4,1.7,-5.8,10.2,-3.1,0.9,-7.6,-52.8,-55.6,-8.9,1.4,28.9,90.2,15,28.6,53.8,22.6,21.6,56.1,165.7,136.5,37.7562,-122.443
34,san_joaquin,32,9.2,6.6,2,-2.3,-1.9,-5.6,1.1,-6,-1.1,45.3,-2.6,-16.1,-9.9,-1.5,4.9,7.8,11,-6.4,12,9.4,3.3,-31,-5.7,9.7,9.4,1,-13.5,-6.9,-15.2,4.3,-12.3,-24,-5.7,17.5,-14.1,-11.3,-7.6,-16.1,6.9,1.1,-6.6,2.3,4,17.2,9.6,8,10.2,12.8,5.2,1.6,-22.8,-43.7,-11.8,6.9,-4.7,11.9,9.8,18.9,26.4,-8.4,-13.2,-7.7,18.1,55.7,37.9348,-121.2714
35,san_luis_obispo,-2.6,-11.5,-2.4,8,11.4,8.9,-1.2,-6,6.1,-14.6,29.4,-8.9,13.4,1.9,10.2,-9.1,11.3,-7.6,-17.2,6.1,-6.1,12,-7.7,-7.7,-5.2,-4.3,0.7,-1.2,0.3,9.2,0.8,3,-14.7,-7.3,-17.5,-23.7,-25.9,3.2,-11,3.5,4.1,-5.7,21.4,-4.2,13.9,23.5,5.3,42.5,4.7,22.2,8.7,-26,-53.8,-19.4,2.5,17.7,29.6,21.7,34.2,35.1,42.3,23.2,19.4,72.4,99.3,35.3871,-120.4045
36,san_mateo,25,-6.1,-13.5,-20.9,1,2.1,-13.8,5.4,-8.1,9.3,16.1,-10.1,-11.6,-3,8.6,3.9,8.4,9.4,-7,-7.7,-0.3,-2.3,5.4,2.6,-9.5,16.1,6.4,-1.1,2.5,-12.1,10.9,-1.8,-14.6,13.5,-13.7,-20.4,9.9,-4.9,-10.9,10.4,-7.1,-8.2,-3,-8.8,-1,-9.6,-3.6,16.1,-5.8,2.8,-10.3,-48.8,-44.5,-11.2,13.5,13.8,41.2,29.1,28.3,35.9,35.4,12.3,29.7,136.9,94.4,37.4229,-122.329
37,santa_barbara,20.3,-2.3,-3.3,8.7,-5.2,2.2,-22,18.3,3.4,3.1,31.8,0.5,1.4,8.7,-4.3,-14.1,13.9,28.9,15.7,21.9,13.7,14.7,12.1,8.8,6,16.7,15.1,23,-10,-8.8,4.4,-2.8,-21.2,0.4,-18.8,-13.8,-8.8,-1.2,3.5,-4,2.5,3,2.5,-8.7,23.2,4,7.2,45.9,35.9,1.9,-16,-25.5,-44,-10.1,15.5,20.2,50.4,34.7,38.7,2.7,1,16.7,47.2,77,99.3,34.6729,-120.0165
38,santa_clara,9.5,-10.6,-12.4,-12.6,-1.3,-4,-18.9,-8.8,-0.9,8.4,25.8,-15.7,-7.8,7.8,11.6,-8.7,6,9.4,15.2,11.9,1.9,-5.7,-7.8,-1.9,-4.5,5.7,6.9,8.7,-1.7,-15.4,-16.7,-8.2,-22.6,-5.8,-9.9,-20.6,-5.4,-10.6,-11.2,-8.4,-7.3,-14.6,3.9,-6.9,-0.8,-1.3,-0.9,18.8,-5,-1.6,-19,-35.6,-51.1,-1.4,12.5,8.2,36,32.4,34.4,31,47,23.5,44.3,121.3,131.8,37.2318,-121.6951
39,santa_cruz,1.1,-14.5,-6.3,-8,-11.2,-27,-35.1,12.4,-19.6,-12.2,15.1,-19.2,20.8,3.2,-15.8,-14.8,-19.2,20,-4.7,-11.6,8.5,34.3,26.9,32.5,-0.9,-9.3,18.8,21,34.1,-12.1,30.5,6.8,-24.7,-2.7,-26.1,-31.7,-34.8,-2.3,-7.5,-15,-18.2,-5.7,-15.2,-10.6,14.9,-22.3,-5.1,34.2,33.3,4.7,-14.6,-33.8,-37.8,16.5,43.6,-9.5,27.3,31.7,27.9,11.1,24,26.7,41.9,117,110.9,37.0562,-122.0018
