index,county,16_jan,16_feb,16_mar,16_apr,16_may,16_jun,16_jul,16_aug,16_sep,16_oct,16_nov,16_dec,17_jan,17_feb,17_mar,17_apr,17_may,17_jun,17_jul,17_aug,17_sep,17_oct,17_nov,17_dec,18_jan,18_feb,18_mar,18_apr,18_may,18_jun,18_jul,18_aug,18_sep,18_oct,18_nov,18_dec,19_jan,19_feb,19_mar,19_apr,19_may,19_jun,19_jul,19_aug,19_sep,19_oct,19_nov,19_dec,20_jan,20_feb,20_mar,20_apr,20_may,20_jun,20_jul,20_aug,20_sep,20_oct,20_nov,20_dec,21_jan,21_feb,21_mar,21_apr,21_may,lat,lng
35,san_luis_obispo,540000,518000,550000,535000,540000,525000,549000,535000,574750,538500,560000,559000,536000,556000,547500,572500,569000,556000,590000,599000,607500,560000,615000,590000,565000,605000,610000,597505,638660,612500,650000,630000,639000,586000,624000,640000,592500,592500,629500,650000,640000,640000,625000,640000,655500,627000,615000,615500,652500,640000,619000,600000,632500,645500,659000,666840,684500,700500,699500,711000,698000,700000,737500,799950,775000,35.3871,-120.4045
36,san_mateo,1077500,1200000,1205000,1312500,1392500,1306250,1350000,1250000,1290000,1350000,1216750,1332500,1150000,1352000,1350000,1500000,1480000,1433750,1500000,1375000,1400500,1522500,1486000,1500000,1437500,1610000,1615000,1770000,1600000,1650500,1610000,1500000,1600000,1588000,1500000,1483000,1450000,1425000,1610000,1601000,1766500,1620000,1562500,1545000,1470000,1560000,1595000,1475000,1422250,1575000,1750000,1640000,1650000,1735000,1719440,1812500,1772500,1680000,1650000,1700000,1605000,1900000,1985000,2001000,2075000,37.4229,-122.329
37,santa_barbara,748000,735000,569000,725000,689000,742000,583800,775000,732500,595000,719500,735000,710000,844000,810000,569000,725000,767500,611000,631000,707000,653000,742000,730000,567000,755000,698000,650000,680000,753750,550000,572500,677500,659000,550000,840000,725000,645000,555000,760500,696000,717000,695000,720000,731500,632500,661500,770000,675000,772750,645000,600000,637500,671750,900000,1020000,1000000,1037500,955000,970000,920000,1174080,1075000,1100000,1299000,34.6729,-120.0165
38,santa_clara,895000,942500,1065000,1085000,1100000,1050000,1045000,975000,1000000,1047500,1010000,965000,927500,1100000,1130000,1160000,1200000,1182500,1165000,1150000,1180000,1242500,1282500,1300000,1170000,1383500,1454500,1425000,1400000,1400000,1351000,1295000,1250000,1290000,1250000,1150000,1185000,1170000,1300000,1315000,1335000,1350000,1298000,1190000,1225000,1234750,1259000,1225000,1200000,1350000,1400000,1388890,1365000,1382000,1380000,1400000,1402500,1442500,1383000,1375000,1375000,1486250,1600000,1650000,1675000,37.2318,-121.6951
39,santa_cruz,694500,794500,790000,775500,800000,800000,756500,824000,774500,799900,795000,805000,800000,799000,814500,815000,875000,860000,815000,825000,845000,867000,870000,831000,790000,800000,910000,899000,865000,925000,898000,917500,910500,885000,862500,926000,825000,927000,918000,977750,935000,897000,899500,875000,795000,865000,875000,889000,869500,897500,925000,949500,850000,905000,985000,1050000,1062500,1060000,1050000,1070000,1110000,1058000,1100000,1265000,1300000,37.0562,-122.0018
40,shasta,226250,212250,222250,223950,229000,243000,229450,248000,239000,249000,250000,235750,233380,235000,239000,243250,255000,269900,255000,252450,244900,255000,250000,258250,249000,255000,242500,258950,264000,281500,280000,286000,255000,261000,283000,267500,271720,285000,285000,275000,285000,289900,286000,294900,280000,303000,285000,275000,282500,291500,310000,288500,297000,295000,300000,315000,331500,344900,327250,307500,329000,329950,345000,350000,360000,40.7637,-122.0405
41,siskiyou,195000,168000,151000,166000,175000,215000,214000,204500,192000,182500,183000,255000,239000,240000,184000,200000,211500,235000,215000,212000,187500,217500,189500,192500,193000,200000,226350,217250,210000,187500,223000,216000,205000,181500,226000,182500,151000,224500,205000,208500,235000,270250,210000,210000,240000,235000,242500,225000,255000,219000,244000,260250,230000,213500,253000,260000,267950,286000,263000,228000,257000,322500,259500,302500,289000,41.5927,-122.5404
42,solano,354000,361500,370000,380000,385500,390000,381000,410000,389500,392500,380000,405000,387400,382500,400000,400000,415000,420000,420000,410000,422500,415000,410000,416000,425000,430000,445000,447500,451000,450000,454000,455000,451500,430000,450000,425000,428000,425000,438500,435000,446000,448000,465000,459700,455000,470000,462980,455500,449900,470000,457950,482500,482000,496750,499750,515000,499950,508000,505250,510000,510000,509750,549000,555000,579000,38.27,-121.9329
43,sonoma,550000,540000,560000,569000,580000,608000,572500,585000,590000,595000,578000,585000,579500,598640,635000,608000,625000,627250,645000,625500,620000,645000,655000,670000,670000,689000,685000,685000,698500,705000,650000,670000,654500,650000,612500,639000,650000,625420,633750,645000,666000,662500,655000,712000,655750,660000,650000,647500,667000,640000,694000,657880,675000,708800,714950,715000,715000,720000,715000,720000,715000,740000,765000,777500,780000,38.5283,-122.8874
44,stanislaus,245000,250000,262000,265000,265000,276000,270000,272750,270000,280000,271500,275000,279750,270500,271450,283000,290000,289000,297000,294290,295000,295000,298750,300000,295000,300000,308000,306000,325000,320000,325000,319900,315000,319000,310000,309000,305000,310000,320000,319500,335000,325500,335000,335000,332750,343000,326500,335000,330000,339000,340000,350000,350000,355000,360000,370000,375000,377000,389000,380000,385000,405000,407500,419000,440000,37.5591,-120.9977
45,sutter,213700,230000,232000,232000,235000,251000,275000,267410,247500,250500,259000,253500,252000,269120,258000,249500,283000,277000,280300,289000,275000,285000,270000,270000,284200,283500,281000,280000,281000,315000,294500,310000,290000,290000,296000,320000,277500,292500,310000,305000,319900,313000,315000,309000,327500,319900,325000,308250,327250,318500,318050,300000,342550,341000,350000,335000,351000,346050,370000,369900,350000,395000,364250,410000,410000,39.0346,-121.6948
46,tehama,190000,170750,189500,184000,170000,235000,184000,202000,219000,163000,235000,204250,210000,225000,201000,207000,203000,187500,206750,225000,191750,210000,224500,190000,227500,189000,222500,210000,197500,234900,223000,208500,228000,233250,199000,255000,275000,224500,315000,232500,243000,260000,255000,281250,225500,262000,259250,237500,260000,265000,280000,217500,290000,240000,264000,290000,285000,283500,371000,273250,250000,299000,299000,362000,348000,40.1256,-122.2341
47,tulare,195000,190000,198000,207250,205000,210000,215000,204900,209900,205000,217500,204950,202500,216500,210000,214900,225000,225450,219950,224900,229950,225000,215000,219500,215730,225000,232500,229250,234950,234500,239000,239000,240000,232000,237400,236450,217750,243500,230000,244950,248000,247500,245000,250000,250000,255000,240000,252000,240000,252000,254480,252750,255250,270000,268000,280220,275000,283000,280000,295000,306920,288500,306650,309600,324350,36.2201,-118.8005
48,tuolumne,210000,256500,244900,253750,242500,245000,245000,266450,242500,221000,260000,253380,279450,287500,270500,270000,299000,287000,292500,292000,282000,266000,325000,269900,265000,274000,292500,305000,300000,318500,315000,331360,291400,304000,288500,258950,299500,299000,315000,316000,310000,297000,300000,302500,307000,300000,275500,292000,309000,297500,300000,299000,319000,305000,325000,318000,325000,349500,337500,330000,350500,375000,343600,367000,390700,38.0276,-119.9548
49,ventura,638590,610820,620020,630100,617740,662500,615000,609000,583800,599000,625000,589150,587250,582500,627000,635000,636500,637500,648500,640000,609000,635000,640000,645000,660720,609000,638500,665000,670000,675000,662360,660000,673750,650000,643740,640000,615000,620000,640000,650000,659500,647000,685000,661900,659250,660000,660000,657000,660000,649500,705000,675000,681250,700000,720000,741500,787500,750000,760000,740000,776000,750000,770750,865000,806000,34.4565,-119.0836
50,yolo,345000,379500,362500,419000,398000,399900,389000,410480,407000,381250,375000,405000,380000,372000,393000,386750,453450,445000,426750,445000,432000,445500,440000,420000,383000,397500,422500,495000,476500,450000,430000,450000,470000,443750,429500,429000,432500,424920,450000,419330,469500,463500,485000,465000,453500,479950,446710,441000,431240,447500,463500,460820,443000,475000,505000,525500,530000,517250,511000,515000,485000,520000,530000,566000,617500,38.6866,-121.9016
51,yuba,210000,225000,235450,240000,225000,250000,254500,249900,245000,236000,265000,247450,250000,256500,254900,267500,255570,275470,266890,265000,274900,271950,285000,241000,265360,269000,277900,285000,297500,292500,289000,269000,257500,282000,263000,298000,299000,256000,290000,268000,311000,295000,299900,298000,305000,298000,319500,299850,315000,315000,309440,328900,320000,328950,343750,332400,342000,350000,352500,360000,395000,370000,359500,384700,400000,39.269,-121.3513
